,r,p,session_id,unit_id,subject,acronym
53,0.19819810060892948,8.002282310392442e-06,715093703,950912018,Sst-IRES-Cre;Ai32-386129,VISam
54,0.24534853954235097,2.735139689751824e-08,715093703,950912065,Sst-IRES-Cre;Ai32-386129,VISam
55,0.1004530396012282,0.024687317239673347,715093703,950912109,Sst-IRES-Cre;Ai32-386129,VISam
56,-0.022551726862765617,0.6149123908420104,715093703,950912226,Sst-IRES-Cre;Ai32-386129,VISam
57,-0.0326556859378621,0.46626470283433546,715093703,950912214,Sst-IRES-Cre;Ai32-386129,VISam
58,0.24204589239226726,4.242111494033862e-08,715093703,950912190,Sst-IRES-Cre;Ai32-386129,VISam
59,-0.00820362561697565,0.8548116716452561,715093703,950912164,Sst-IRES-Cre;Ai32-386129,VISam
60,0.2893599785515895,4.232249106546122e-11,715093703,950912249,Sst-IRES-Cre;Ai32-386129,VISam
61,0.029854431251548477,0.5053836079051377,715093703,950912283,Sst-IRES-Cre;Ai32-386129,VISam
62,0.26373626122661364,2.112424800165392e-09,715093703,950912293,Sst-IRES-Cre;Ai32-386129,VISam
63,-0.26150364270347615,2.9139912435542734e-09,715093703,950912361,Sst-IRES-Cre;Ai32-386129,VISam
64,0.17759902364378907,6.521994289785894e-05,715093703,950912326,Sst-IRES-Cre;Ai32-386129,VISam
65,0.17918911036050403,5.5914546581580554e-05,715093703,950912396,Sst-IRES-Cre;Ai32-386129,VISam
66,0.08130891106371071,0.06928133939572181,715093703,950912384,Sst-IRES-Cre;Ai32-386129,VISam
67,-0.01854086036988024,0.6791786941871876,715093703,950912448,Sst-IRES-Cre;Ai32-386129,VISam
68,0.1584599005869494,0.0003752565436566757,715093703,950912427,Sst-IRES-Cre;Ai32-386129,VISam
69,0.3159708930777533,4.697299441306477e-13,715093703,950912417,Sst-IRES-Cre;Ai32-386129,VISam
70,0.026363207855145645,0.556447702698723,715093703,950912406,Sst-IRES-Cre;Ai32-386129,VISam
71,0.019364978257766112,0.6657626331693357,715093703,950912473,Sst-IRES-Cre;Ai32-386129,VISam
72,0.0989903097809927,0.02687081775092169,715093703,950912460,Sst-IRES-Cre;Ai32-386129,VISam
